cycle,S,density
6880,0.019,3.897
6890,0.020,3.897
6900,0.020,3.897
6910,0.019,3.897
6920,0.019,3.898
6930,0.018,3.898
6940,0.018,3.899
6950,0.019,3.900
6960,0.019,3.900
6970,0.018,3.900
6980,0.019,3.900
6990,0.019,3.901
7000,0.019,3.901
7010,0.019,3.901
7020,0.019,3.901
7030,0.019,3.901
7040,0.019,3.902
7050,0.019,3.902
7060,0.018,3.902
7070,0.017,3.903
7080,0.018,3.903
7090,0.018,3.904
7100,0.017,3.904
7110,0.017,3.904
7120,0.018,3.905
7130,0.019,3.905
7140,0.019,3.905
7150,0.020,3.905
7160,0.019,3.906
7170,0.020,3.906
7180,0.021,3.906
7190,0.022,3.907
7200,0.021,3.907
7210,0.019,3.908
7220,0.020,3.909
7230,0.019,3.908
7240,0.018,3.909
7250,0.017,3.910
7260,0.017,3.910
7270,0.017,3.910
7280,0.016,3.911
7290,0.017,3.911
7300,0.018,3.912
7310,0.018,3.912
7320,0.018,3.912
7330,0.017,3.912
7340,0.017,3.912
7350,0.018,3.913
7360,0.018,3.913
7370,0.018,3.913
7380,0.017,3.914
7390,0.018,3.914
7400,0.017,3.915
7410,0.016,3.915
7420,0.016,3.916
7430,0.015,3.916
7440,0.014,3.915
7450,0.014,3.915
7460,0.014,3.915
7470,0.013,3.917
7480,0.014,3.917
7490,0.014,3.917
7500,0.014,3.917
7510,0.014,3.917
7520,0.013,3.917
7530,0.013,3.918
7540,0.013,3.918
7550,0.014,3.918
7560,0.014,3.919
7570,0.013,3.919
7580,0.012,3.920
7590,0.012,3.920
7600,0.014,3.920
7610,0.014,3.920
7620,0.014,3.920
7630,0.015,3.921
7640,0.015,3.921
7650,0.014,3.922
7660,0.015,3.922
7670,0.014,3.922
7680,0.014,3.922
7690,0.015,3.922
7700,0.014,3.923
7710,0.014,3.923
7720,0.014,3.923
7730,0.014,3.924
7740,0.015,3.924
7750,0.014,3.924
7760,0.015,3.924
7770,0.015,3.924
7780,0.014,3.925
7790,0.015,3.924
7800,0.015,3.925
7810,0.016,3.924
7820,0.016,3.924
7830,0.015,3.925
7840,0.015,3.925
7850,0.015,3.926
7860,0.015,3.926
7870,0.016,3.927
7880,0.016,3.928
7890,0.015,3.928
7900,0.015,3.929
7910,0.016,3.930
7920,0.016,3.930
7930,0.015,3.930
7940,0.014,3.930
7950,0.015,3.930
7960,0.014,3.930
7970,0.015,3.930
